Belonging Uncertainty	Doubt about whether one fits in or will be accepted, especially when linked to a negatively stereotyped identity. Can undermine motivation.
Identity Engagement Model (Cohen & Garcia)	Model explaining how salient identity -> vigilance for threat cues -> threat appraisal -> coping -> performance outcomes. Emphasizes recursive cycles.
Confirming vs. Disconfirming Cues (Identity Threat)	*Confirming:* Signals you don't belong/fit stereotype -> impairs performance. *Disconfirming:* Signals value/capability despite identity -> reduces threat, improves performance.
Stereotype Lift	Performance boost for non-stereotyped individuals when negative stereotypes about *other* groups are salient (Walton & Cohen).
Growth Mindset (Dweck)	Belief that abilities (like intelligence) are malleable and can be developed through effort and learning. Contrasts with Fixed Mindset (abilities are innate). Intervention can boost performance.
Self-Affirmation Theory	People are motivated to maintain self-integrity. Affirming core values or identities can buffer against threats to the self in other domains (e.g., academic performance).
Values-Based Self-Affirmation	Intervention involving reflecting on and writing about important personal values to buffer self-integrity.
Identity-Based Self-Affirmation	Intervention involving reflecting positively on important social identities to buffer self-integrity and potentially boost self-esteem.
Hoffman & Schacter (2024) Study Finding	Both values-based and identity-based self-affirmation interventions protected adolescents from self-esteem declines during the high school transition, compared to a control group.
Walton & Cohen Belonging Intervention	Intervention framing social adversity/belonging uncertainty in college as common and transient for *all* students improved minority students' GPA and well-being long-term.
Steele (Researcher)	Developed theory of Stereotype Threat and work on social identity contingencies. Also worked on self-affirmation.
Dweck (Researcher)	Known for research on Mindset (Growth vs. Fixed) and its impact on motivation, achievement, and resilience.
Cohen & Garcia (Researchers)	Developed the Identity Engagement Model, linking identity salience, threat, belonging, and achievement over time. Researched interventions like self-affirmation.
Walton (Researcher)	Known for research on belonging, social-psychological interventions (especially framing adversity), and stereotype lift.
Wisdom (Sternberg Definition)	Use of knowledge, abilities, ethics, values, mediated by reflection, for a *common good*, balancing multiple interests (intra-, inter-, extra-personal) over time, adapting/shaping/selecting environments.
Why is Wisdom Needed in STEM?	To ensure technological/scientific advancements serve the common good, consider long-term consequences and ethics, and avoid foolish/toxic outcomes despite high intelligence.
Foolishness (Sternberg)	Acting unwisely despite intellectual capability, often due to cognitive fallacies (e.g., egocentrism, omniscience, omnipotence, invulnerability, unrealistic optimism).
Dark Triad Traits	Narcissism, Machiavellianism, Psychopathy. Sternberg notes people sometimes prefer leaders exhibiting these traits, which can lead to foolish/toxic outcomes.
Sunk-Cost Fallacy	Continuing a course of action due to past investment (time, money, effort), even if it's no longer the wisest path. A type of foolish thinking.
Ethical Disengagement	Justifying or rationalizing unethical behavior, convincing oneself that ethical standards don't apply. A component of foolishness.
Flynn Effect	Observed rise in IQ scores across generations. Raises questions about whether intelligence or wisdom is increasing (Machado Challenge).
Sternberg (Researcher)	Extensive work on intelligence (Triarchic Theory), creativity, and wisdom (Balance Theory). Critical of overemphasis on IQ and advocates for teaching wisdom.
Social Relationship Interventions: Challenges	Interventions providing support from strangers often show weak results in large trials. Effectiveness depends on context (e.g., information vs. emotion) and individual needs/existing support.
Potential Harm of Misguided Support	Example: Study where peer *emotional* support harmed cancer patients who already had high levels of natural support; *informational* support was more helpful for adjustment.
Marital Status and Mortality (Kaplan & Kronick, 2006)	Large US study found married individuals had lower odds of dying over 8 years compared to never married, divorced/separated, or widowed individuals.
Marital Quality and Health	Quality matters. Kaiser Permanente study found equality/companionship protected women against death over 15 years (not significant for men in that study).
Recursion (in Identity Engagement Model)	Psychological processes (like threat perception) and environmental factors interact in repeating cycles over time (e.g., threat lowers performance, which increases future threat). Interventions aim to disrupt negative cycles.
